client_id,program_id,exercise_id,exercise_name,day_of_week,week_phase,sets,reps_min,reps_max,rest_seconds,load_progression,form_cues,exercise_order,superset_group,exercise_category,muscle_groups_primary,muscle_groups_secondary,equipment_required,difficulty_level,tempo,notes
8,8001,1,Barbell Back Squat,Monday,1,3,8,10,180,Weekly 5lb increase,Feet shoulder-width apart • Chest up core tight • Knees track over toes,1,,Compound,Quadriceps,Glutes,Barbell + Squat Rack,Intermediate,3-1-1-1,Mass building foundation - focus on progressive overload
8,8001,2,Barbell Bench Press,Monday,1,3,8,10,180,Weekly 5lb increase,Feet flat on floor • Arch in lower back • Retract shoulder blades,2,,Compound,Chest,Triceps + Shoulders,Barbell + Bench,Intermediate,3-1-1-1,Control descent for muscle building
8,8001,3,Bent-over Barbell Row,Monday,1,3,8,10,150,Weekly 5lb increase,Hip hinge position • Neutral spine • Pull to sternum,3,,Compound,Lats,Rhomboids + Middle Traps,Barbell,Intermediate,3-1-1-1,Balance pushing movements
8,8001,4,Overhead Press (Military),Monday,1,3,10,12,120,Weekly 2.5lb increase,Feet hip-width apart • Core braced • Press straight up,4,,Compound,Shoulders,Triceps,Barbell,Intermediate,3-1-1-1,Build overhead strength
8,8002,5,Conventional Deadlift,Wednesday,1,3,6,8,240,Weekly 10lb increase,Feet hip-width apart • Chest up shoulders back • Drive through heels,1,,Compound,Hamstrings,Glutes + Lower Back,Barbell,Intermediate,3-1-1-1,King of mass builders
8,8002,6,Incline Barbell Press,Wednesday,1,3,8,10,150,Weekly 5lb increase,30-45 degree incline • Retract shoulder blades • Bar to upper chest,2,,Compound,Upper Chest,Shoulders,Barbell + Incline Bench,Intermediate,3-1-1-1,Upper chest development
8,8002,7,T-Bar Row,Wednesday,1,3,8,10,150,Weekly 5lb increase,Chest up core tight • Pull to lower chest • Squeeze at top,3,,Compound,Lats,Rhomboids,T-Bar or Barbell + Landmine,Intermediate,3-1-1-1,Thick back development
8,8002,8,Barbell Curl,Wednesday,1,3,10,12,90,Weekly 2.5lb increase,Stand tall core tight • Elbows at sides • Squeeze biceps at top,4,,Isolation,Biceps,,Barbell,Beginner,3-1-1-1,Arm development
8,8003,9,Front Squat,Friday,1,3,8,10,180,Weekly 5lb increase,High elbows • Bar on collar bone • Upright torso,1,,Compound,Quadriceps,Core,Barbell + Squat Rack,Advanced,3-1-1-1,Quad emphasis and core strength
8,8003,10,Close-Grip Bench Press,Friday,1,3,8,10,150,Weekly 5lb increase,Hands 12-16 inches apart • Elbows close to body • Focus on triceps,2,,Compound,Triceps,Chest,Barbell + Bench,Intermediate,3-1-1-1,Tricep mass builder
8,8003,11,Romanian Deadlift (Barbell),Friday,1,3,10,12,120,Weekly 5lb increase,Slight knee bend • Push hips back • Feel stretch in hamstrings,3,,Compound,Hamstrings,Glutes,Barbell,Intermediate,3-1-1-1,Hamstring development
8,8003,12,Barbell Shrugs,Friday,1,3,12,15,90,Weekly 5lb increase,Stand tall • Shrug straight up • Don't roll shoulders,4,,Isolation,Trapezius,,Barbell,Beginner,2-1-1-1,Trap development
9,9001,13,Leg Press,Monday,1,2,15,20,90,Conservative 10lb weekly,Feet shoulder-width apart • Full range of motion • Don't lock knees,1,,Compound,Quadriceps,Glutes,Leg Press Machine,Beginner,3-1-1-1,Joint-friendly option for arthritis
9,9001,14,Chest Press Machine,Monday,1,2,15,20,90,Conservative 5lb weekly,Adjust seat height • Retract shoulder blades • Control the return,2,,Compound,Chest,Triceps,Chest Press Machine,Beginner,3-1-1-1,Stable pressing movement
9,9001,15,Cable Rows (Seated),Monday,1,2,15,20,90,Conservative 5lb weekly,Sit tall chest up • Pull to lower chest • Squeeze shoulder blades,3,,Compound,Lats,Rhomboids + Middle Traps,Cable Machine,Beginner,3-1-1-1,Back strengthening
9,9002,16,Calf Raise Machine,Wednesday,1,2,15,20,60,Conservative 5lb weekly,Shoulders under pads • Full range of motion • Squeeze at top,1,,Isolation,Calves,,Calf Raise Machine,Beginner,2-1-1-1,Joint mobility focus
9,9002,17,Leg Curl (Seated),Wednesday,1,2,15,20,90,Conservative 5lb weekly,Sit in machine • Curl down and back • Squeeze hamstrings,2,,Isolation,Hamstrings,,Seated Leg Curl Machine,Beginner,3-1-1-1,Hamstring strength
9,9002,18,Lat Pulldown,Wednesday,1,2,15,20,90,Conservative 5lb weekly,Sit tall chest up • Pull to upper chest • Control the return,3,,Compound,Lats,Biceps,Cable Machine,Beginner,3-1-1-1,Upper body pulling
9,9003,19,Hip Abduction Machine,Friday,1,2,15,20,60,Time under tension focus,Sit in machine • Push legs apart • Control the movement,1,,Isolation,Hip Abductors,Glutes,Hip Abduction Machine,Beginner,4-1-1-2,Hip stability for arthritis
9,9003,20,Hip Adduction Machine,Friday,1,2,15,20,60,Time under tension focus,Sit in machine • Bring legs together • Squeeze inner thighs,2,,Isolation,Hip Adductors,,Hip Adduction Machine,Beginner,4-1-1-2,Inner thigh strength
